mv upng/upng.c upng/upng.cpp || true && mkdir out || true
mpic++ -Xpreprocessor -fopenmp -c main.cpp
mpic++ -c upng/upng.cpp
mpic++ --std=c++14 -lstdc++ -lomp -lm -o output.out main.o upng.o
filename,width,height,mpi_num_processes,omp_num_threads,time(s)
img/smallwheel.png,0,0,1,1,0.007451
img/smallwheel.png,0,0,1,2,0.004050
img/smallwheel.png,0,0,1,3,0.004004
img/smallwheel.png,0,0,1,4,0.004302
img/smallwheel.png,0,0,1,5,0.004321
img/smallwheel.png,0,0,1,6,0.004501
img/smallwheel.png,0,0,1,7,0.004895
img/smallwheel.png,0,0,1,8,0.004411
img/smallwheel.png,64,64,2,1,0.020253
img/smallwheel.png,64,64,2,2,0.003396
img/smallwheel.png,64,64,2,3,0.005960
img/smallwheel.png,64,64,2,4,0.003366
img/smallwheel.png,64,64,2,5,0.003461
img/smallwheel.png,64,64,2,6,0.010573
img/smallwheel.png,64,64,2,7,0.006859
img/smallwheel.png,64,64,2,8,0.021473
img/smallwheel.png,64,64,3,1,0.025101
img/smallwheel.png,64,64,3,2,0.031697
img/smallwheel.png,64,64,3,3,0.004383
img/smallwheel.png,64,64,3,4,0.004848
img/smallwheel.png,64,64,3,5,0.015608
img/smallwheel.png,64,64,3,6,0.211721
img/smallwheel.png,64,64,3,7,0.136901
img/smallwheel.png,64,64,3,8,0.229179
img/smallwheel.png,64,64,4,1,0.040681
img/smallwheel.png,64,64,4,2,0.033210
img/smallwheel.png,64,64,4,3,0.013890
img/smallwheel.png,64,64,4,4,0.018858
img/smallwheel.png,64,64,4,5,0.216074
img/smallwheel.png,64,64,4,6,0.212859
img/smallwheel.png,64,64,4,7,0.232998
img/smallwheel.png,64,64,4,8,0.245345
img/wheel.png,0,0,1,1,0.041151
img/wheel.png,0,0,1,2,0.026785
img/wheel.png,0,0,1,3,0.026483
img/wheel.png,0,0,1,4,0.017290
img/wheel.png,0,0,1,5,0.013886
img/wheel.png,0,0,1,6,0.026743
img/wheel.png,0,0,1,7,0.013627
img/wheel.png,0,0,1,8,0.011306
img/wheel.png,256,256,2,1,0.060932
img/wheel.png,256,256,2,2,0.031826
img/wheel.png,256,256,2,3,0.022462
img/wheel.png,256,256,2,4,0.019182
img/wheel.png,256,256,2,5,0.018464
img/wheel.png,256,256,2,6,0.015463
img/wheel.png,256,256,2,7,0.018020
img/wheel.png,256,256,2,8,0.118826
img/wheel.png,256,256,3,1,0.053106
img/wheel.png,256,256,3,2,0.029225
img/wheel.png,256,256,3,3,0.021417
img/wheel.png,256,256,3,4,0.024066
img/wheel.png,256,256,3,5,0.019466
